subject_ID,Gender,ExactAge,FlooredAge,Connect4DataChecked,MARSDataChecked,QualtricsDataChecked,ConsentFormEnd,FOSEnd,TotalStudyTime,LatestOtherMaRSDate,TimeBetweenMaRS,What is your race?:,Are you Hispanic?:
342,F,11.8164,11,Y,Y,Y,4/22/21 8:46,4/22/21 9:23,0:37:10,NA,NA,Caucasian/White,No
449,M,17.0274,17,Y,Y,Y,4/21/21 20:44,4/21/21 21:24,0:39:37,NA,NA,Asian,No
459,M,15.2904,15,Y,Y,Y,4/22/21 7:23,4/22/21 7:46,0:22:43,NA,NA,Caucasian/White,No
511,M,10.9726,10,Y,DATA SAVED TWICE,Y,4/21/21 12:49,4/21/21 13:17,0:28:25,NA,NA,Caucasian/White,No
535,M,10.8438,10,Y,Y,Y,4/21/21 13:02,4/21/21 13:29,0:27:09,6/23/20,302,Caucasian/White,Yes
560,M,8.2274,8,Y,Y,Y,4/22/21 12:15,4/22/21 12:34,0:19:01,NA,NA,Asian,No
436,M,9.3836,9,Y,Y,Y,4/27/21 15:34,4/28/21 18:09,2:35:01,6/18/20,314,Caucasian/White,No
149,M,11.7616,11,Y,Y,Y,11/20/20 19:52,11/20/20 20:16,0:23:55,6/11/20,162,Black/African American,Yes
180,M,10.3123,10,Y,Y,Y,11/30/20 10:01,11/30/20 10:45,0:44:23,6/2/20,181,Mixed Race,Yes
543,F,8.9205,8,Y,MISSING,"NO BIS-Brief, NO FOS",5/5/21 15:28,N/A,N/A,6/26/20,N/A,Mixed Race,No
